cluster,locations,violations,avg_severity,junction_ratio,violations_norm,severity_norm,junction_norm,congestion_score,risk_level,v_norm,s_norm,j_norm,recommendation
27,29,184,4.752409447044479,0.0,0.00102348325467675,0.28196451279878987,0.0,7.110521815250352,Low,0.00102348325467675,0.28196451279878987,0.0,Routine surveillance
31,25,175,3.888162393162393,0.9163156288156289,0.0009723090919429125,0.14290625795050582,0.9163156288156289,17.375729426513654,Low,0.0009723090919429125,0.14290625795050582,0.9163156288156289,Routine surveillance
176,5,172,3.56,0.0,0.0009552510376982998,0.09010458567980695,0.0,2.3099297042570717,Low,0.0009552510376982998,0.09010458567980695,0.0,Routine surveillance
92,13,168,3.0242553312320757,0.0,0.0009325069653721499,0.0039027081628440485,0.0,0.1535181219934302,Low,0.0009325069653721499,0.0039027081628440485,0.0,Routine surveillance
42,18,167,3.1439193522526856,0.7962962962962963,0.0009268209472906125,0.0231567742964901,0.7962962962962963,12.578973058694132,Low,0.0009268209472906125,0.0231567742964901,0.7962962962962963,Routine surveillance
39,17,143,3.0294117647058822,0.0,0.0007903565133337124,0.004732383701670562,0.0,0.16573098334178676,Low,0.0007903565133337124,0.004732383701670562,0.0,Routine surveillance
172,7,140,7.759454542910317,0.0,0.0007732984590890999,0.7658012136621589,0.0,19.191428249099317,Low,0.0007732984590890999,0.7658012136621589,0.0,Routine surveillance
86,25,139,5.191486861951258,0.0,0.0007676124410075625,0.3526125280693899,0.0,8.861369948195202,Low,0.0007676124410075625,0.3526125280693899,0.0,Routine surveillance
26,23,126,5.119565217391305,0.0,0.000693694205947575,0.3410402602399525,0.0,8.567628158355667,Low,0.000693694205947575,0.3410402602399525,0.0,Routine surveillance
107,6,124,4.608091787439613,0.0,0.0006823221697845,0.2587436504327616,0.0,6.5095305910061105,Low,0.0006823221697845,0.2587436504327616,0.0,Routine surveillance
145,12,117,7.656817455753626,0.0,0.0006425200432137374,0.749286798994952,0.0,18.770721177466623,Low,0.0006425200432137374,0.749286798994952,0.0,Routine surveillance
158,9,113,5.377855172801982,0.0,0.0006197759708875875,0.3825993841998362,0.0,9.60217116324916,Low,0.0006197759708875875,0.3825993841998362,0.0,Routine surveillance
49,7,110,3.7157738095238098,0.0,0.000602717916642975,0.11516875454928555,0.0,2.915381938730717,Low,0.000602717916642975,0.11516875454928555,0.0,Routine surveillance
112,7,107,3.001503759398496,0.0015037593984962405,0.0005856598623983625,0.00024195645993502213,0.0015037593984962405,0.0637448942197209,Low,0.0005856598623983625,0.00024195645993502213,0.0015037593984962405,Routine surveillance
33,16,103,3.054926470588235,0.0,0.0005629157900722125,0.008837726562869685,0.0,0.2547181114760749,Low,0.0005629157900722125,0.008837726562869685,0.0,Routine surveillance
205,8,102,7.493162393162393,0.0,0.000557229771990675,0.7229545282642628,0.0,18.10729699292601,Low,0.000557229771990675,0.7229545282642628,0.0,Routine surveillance
60,20,97,4.068181818181818,0.0,0.0005287996815829875,0.1718715717106707,0.0,4.328517273661746,Low,0.0005287996815829875,0.1718715717106707,0.0,Routine surveillance
191,5,97,6.534750162232316,0.0,0.0005287996815829875,0.5687449979456664,0.0,14.25035292953664,Low,0.0005287996815829875,0.5687449979456664,0.0,Routine surveillance
88,13,97,3.5494529222464446,0.0,0.0005287996815829875,0.08840754983852694,0.0,2.241916726858153,Low,0.0005287996815829875,0.08840754983852694,0.0,Routine surveillance
46,7,97,6.271221532091097,0.0,0.0005287996815829875,0.5263429657427349,0.0,13.190302124463352,Low,0.0005287996815829875,0.5263429657427349,0.0,Routine surveillance
138,16,91,6.526444327731093,0.5238970588235294,0.0004946835730937624,0.5674085804877059,0.5238970588235294,22.073351408931213,Low,0.0004946835730937624,0.5674085804877059,0.5238970588235294,Routine surveillance
4,25,91,3.1,0.0,0.0004946835730937624,0.016090104585679832,0.0,0.43193362902762156,Low,0.0004946835730937624,0.016090104585679832,0.0,Routine surveillance
38,6,90,4.377923976608187,0.0,0.000488997555012225,0.22170940894741553,0.0,5.572075076986121,Low,0.000488997555012225,0.22170940894741553,0.0,Routine surveillance
56,10,89,3.0025,0.0,0.0004833115369306874,0.0004022526146419958,0.0,0.03905500758189114,Low,0.0004833115369306874,0.0004022526146419958,0.0,Routine surveillance
63,8,87,3.1285211267605635,0.0,0.00047193950076761243,0.02067918371046884,0.0,0.5452959628077778,Low,0.00047193950076761243,0.02067918371046884,0.0,Routine surveillance
151,9,87,5.600791155036438,0.0,0.00047193950076761243,0.4184700169004728,0.0,10.490066792557878,Low,0.00047193950076761243,0.4184700169004728,0.0,Routine surveillance
177,10,86,4.044632034632035,0.0,0.0004662534826860749,0.1680823869078094,0.0,4.2300348816564,Low,0.0004662534826860749,0.1680823869078094,0.0,Routine surveillance
132,13,82,3.7310897435897434,0.0,0.00044350941035992494,0.11763310435876806,0.0,2.967438173590797,Low,0.00044350941035992494,0.11763310435876806,0.0,Routine surveillance
68,15,82,3.025641025641026,0.0,0.00044350941035992494,0.004125667842482084,0.0,0.1297522606836476,Low,0.00044350941035992494,0.004125667842482084,0.0,Routine surveillance
128,6,74,3.4523358585858586,0.0,0.00039802126570762493,0.07278131272499744,0.0,1.8434140940673933,Low,0.00039802126570762493,0.07278131272499744,0.0,Routine surveillance
206,5,74,4.2153846153846155,0.0,0.00039802126570762493,0.1955566557336469,0.0,4.91279766928363,Low,0.00039802126570762493,0.1955566557336469,0.0,Routine surveillance
